test_well,n_test,n_train,RMSE,MAE,MAPE,R2
15/9-F-1 C,390,5240,15.478405467687395,14.372154282051218,7.957998366043023,0.4468678130886806
15/9-F-11 H,1063,4567,7.755839114869117,5.948930736908212,3.2410628615734716,0.8616450352986216
15/9-F-12 H,894,4736,17.997221577221303,16.270503303504757,8.522791030356135,-0.0232740117855339
15/9-F-14 H,2553,3077,15.417872291895938,12.434933463898648,6.615155839154147,0.6630192909119055
15/9-F-15 D,730,4900,18.250730922208586,16.685005319634787,10.185364201726797,-1.0987288130835053
