Wellbore name,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,delta_P,BB_pred
15/9-F-1 C,314.0,48623.0,330.0,644.0,0.5124223602484472,154.85031847133757,36.73,49.988,108.344,50.81898,24.0,183.888,256.0232020804567
15/9-F-1 C,219.0,32908.0,730.0,949.0,0.7692307692307693,150.2648401826484,31.265,64.551,108.056,56.32231,24.0,207.074,273.8738364711941
15/9-F-1 C,314.0,48609.0,332.0,646.0,0.5139318885448917,154.80573248407643,36.65,50.37,108.341,50.77311,24.0,184.095,256.07856026700966
15/9-F-1 C,253.0,38311.0,735.0,988.0,0.7439271255060729,151.42687747035572,30.995,66.506,108.111,58.32782,24.0,203.847,272.7274766093877
15/9-F-1 C,317.0,49209.0,334.0,651.0,0.5130568356374808,155.2334384858044,36.589,48.384,108.338,50.78376,24.0,184.273,256.21464309576345
15/9-F-1 C,284.0,42501.0,786.0,1070.0,0.7345794392523365,149.65140845070422,30.053,66.584,108.074,59.99157,24.0,202.54,272.8203729003006
15/9-F-1 C,319.68,49329.6,322.56,642.24,0.5022421524663677,154.3093093093093,36.554,47.288,108.336,50.8004,25.0,184.404,255.735563862807
15/9-F-1 C,394.0,64546.0,860.0,1254.0,0.6858054226475279,163.8223350253807,32.347,70.539,108.183,55.61919,24.0,194.497,271.3486872976938
15/9-F-1 C,318.0,49191.0,333.0,651.0,0.511520737327189,154.68867924528303,36.997,53.303,108.36,50.7788,24.0,182.967,255.63377814777004
15/9-F-1 C,419.0,68466.0,847.0,1266.0,0.6690363349131122,163.40334128878283,31.193,75.355,108.174,56.48962,24.0,191.256,270.26496678776306
15/9-F-1 C,315.0,48599.0,325.0,640.0,0.5078125,154.2825396825397,36.666,53.394,108.364,50.49807,24.0,183.295,255.43709421886288
15/9-F-1 C,400.0,64240.0,801.0,1201.0,0.6669442131557036,160.6,29.959,73.91,108.139,56.47153,24.0,189.718,269.78134673370647
15/9-F-1 C,315.0,48233.0,344.0,659.0,0.5220030349013657,153.12063492063493,37.86,57.765,108.399,50.20832,24.0,183.042,255.82433382588798
15/9-F-1 C,322.0,48181.0,335.0,657.0,0.5098934550989346,149.6304347826087,38.216,55.118,108.402,50.43002,24.0,182.437,255.465438796657
15/9-F-1 C,320.0,49975.0,345.0,665.0,0.518796992481203,156.171875,38.284,53.302,108.396,50.49318,24.0,182.385,255.95041926247885
15/9-F-1 C,326.0,50479.0,344.0,670.0,0.5134328358208955,154.8435582822086,38.329,53.2,108.396,50.45315,24.0,182.138,255.6887729763256
15/9-F-1 C,317.0,49048.0,324.0,641.0,0.5054602184087363,154.7255520504732,36.455,51.984,108.362,50.91824,24.0,183.33,255.4377638613298
15/9-F-1 C,283.0,46088.0,324.0,607.0,0.5337726523887973,162.85512367491165,34.39,54.089,108.289,51.7,24.0,188.076,256.7341052987365
15/9-F-1 C,295.0,46629.0,332.0,627.0,0.529505582137161,158.06440677966103,36.491,60.338,108.352,51.69625,24.0,183.488,255.92670054713747
15/9-F-1 C,295.0,46218.0,318.0,613.0,0.5187601957585645,156.67118644067796,36.444,59.227,108.379,51.63631,24.0,182.74,255.44155123930304
15/9-F-1 C,291.0,45666.0,312.0,603.0,0.5174129353233831,156.9278350515464,35.392,58.757,108.35,51.60535,24.0,184.883,255.45533247883537
15/9-F-1 C,290.0,45494.0,312.0,602.0,0.5182724252491694,156.87586206896552,35.229,58.249,108.328,51.5844,24.0,185.65,255.56650375489417
15/9-F-1 C,293.0,45840.0,311.0,604.0,0.5149006622516556,156.4505119453925,35.66,57.996,108.353,51.59682,24.0,184.409,255.38329698122502
15/9-F-1 C,293.0,45756.0,319.0,612.0,0.5212418300653595,156.16382252559728,34.785,56.501,108.32,52.04163,24.0,186.351,255.95384113067973
15/9-F-1 C,293.0,45039.0,330.0,623.0,0.5296950240770465,153.71672354948805,33.844,56.004,108.28,52.62032,24.0,188.302,256.6192335187979
15/9-F-1 C,289.0,44152.0,313.0,602.0,0.5199335548172758,152.7750865051903,36.082,59.361,108.351,50.94922,24.0,184.33,255.64359937867255
15/9-F-1 C,114.02714932126698,17686.877828054297,742.0814479638009,856.1085972850678,0.8668076109936576,155.1111111111111,41.454,35.5,106.301,27.95413,13.26,237.317,277.72933150574255
15/9-F-1 C,282.0,43107.0,306.0,588.0,0.5204081632653061,152.86170212765958,35.323,58.972,108.309,50.93181,24.0,186.181,255.7511095645613
15/9-F-1 C,57.0,8878.0,850.0,907.0,0.9371554575523704,155.75438596491227,26.842,64.635,107.612,56.91126,24.0,243.92,282.3768223132446
15/9-F-1 C,321.0,49772.0,330.0,651.0,0.5069124423963134,155.05295950155764,36.225,50.972,108.353,50.90594,24.0,183.841,255.6257777039294
15/9-F-1 C,285.0,43755.0,303.0,588.0,0.5153061224489796,153.52631578947367,36.438,60.767,108.343,50.94328,24.0,183.562,255.19660778239523
15/9-F-1 C,175.0,27015.0,1131.0,1306.0,0.8660030627871363,154.37142857142857,26.692,74.096,107.884,60.682,24.0,237.19,281.4282680633865
15/9-F-1 C,284.0,43676.0,301.0,585.0,0.5145299145299145,153.7887323943662,35.988,59.959,108.332,50.92782,24.0,184.113,255.2465250375275
15/9-F-1 C,290.0,44165.0,799.0,1089.0,0.7337006427915519,152.29310344827587,29.907,68.736,108.13,65.61387,24.0,199.97,272.79058684616626
15/9-F-1 C,312.0,47139.0,853.0,1165.0,0.7321888412017168,151.08653846153845,29.651,69.427,108.15,55.41932,24.0,197.44,273.2402462461927
15/9-F-1 C,319.0,48869.0,809.0,1128.0,0.7171985815602837,153.19435736677116,29.128,69.378,108.129,55.42483,24.0,195.164,272.19721594032245
15/9-F-1 C,325.0,49523.0,753.0,1078.0,0.6985157699443414,152.37846153846155,28.495,70.795,108.106,55.49048,24.0,193.654,270.79593354786476
15/9-F-1 C,295.0,45686.0,328.0,623.0,0.5264847512038523,154.86779661016948,36.028,54.662,108.345,50.93085,24.0,184.315,256.4184381455259
15/9-F-1 C,290.0,45639.0,326.0,616.0,0.5292207792207793,157.37586206896552,35.81,53.341,108.343,50.80079,24.0,184.669,256.63857371197884
15/9-F-1 C,213.3333333333333,45968.0,325.3333333333333,538.6666666666666,0.6039603960396039,215.475,6.545,20.873,105.648,56.64421,13.5,248.865,263.28917604551594
15/9-F-1 C,318.0,48723.0,737.0,1055.0,0.6985781990521327,153.21698113207546,27.104,71.461,108.083,55.73845,24.0,192.189,270.6397215179399
15/9-F-1 C,350.0,53110.0,738.0,1088.0,0.6783088235294118,151.74285714285713,26.79,67.989,108.121,56.25741,24.0,190.315,270.05958857360577
15/9-F-1 C,353.0,53761.0,745.0,1098.0,0.6785063752276868,152.29745042492917,26.291,71.859,108.139,56.99665,24.0,188.981,269.89115890428985
15/9-F-1 C,372.0,59285.0,771.0,1143.0,0.6745406824146981,159.36827956989248,25.715,70.505,108.142,56.93238,24.0,187.961,270.12163908192827
15/9-F-1 C,334.0,51572.0,727.0,1061.0,0.6852026390197926,154.40718562874252,25.109,67.014,108.15,56.80454,24.0,187.022,270.3447599650452
15/9-F-1 C,356.0,54833.0,749.0,1105.0,0.6778280542986426,154.02528089887642,24.156,72.424,108.146,56.828,24.0,187.073,269.9342894762979
15/9-F-1 C,362.0,55787.0,764.0,1126.0,0.6785079928952042,154.10773480662982,24.054,74.381,108.174,57.60208,24.0,185.812,269.9891939617541
15/9-F-1 C,406.0,62595.0,809.0,1215.0,0.665843621399177,154.17487684729065,23.947,69.911,108.199,59.02969,24.0,184.132,270.31906532749434
