Wellbore name,Date of Production,q_oil,q_gas,q_wat,q_liq,WC,GOR,AVG_WHP_P,AVG_WHT_P,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,ON_STREAM_HRS,log_q_liq,log_q_oil,log_q_gas,GLR,dT,delta_P
15/9-F-1 C,2014-05-08,914.0,127565.0,0.0,914.0,0.0,139.56783369803063,70.545,57.656,107.821,47.29695,24.0,6.818924065275521,6.818924065275521,11.75638915670642,139.56783369803063,50.165,155.142
15/9-F-1 C,2014-05-09,307.1583514099783,42209.11062906725,0.0,307.1583514099783,0.0,137.4180790960452,70.946,55.955,107.599,29.13359,13.83,5.730613778809555,5.730613778809555,10.650415059693916,137.4180790960452,51.644000000000005,156.852
15/9-F-1 C,2014-05-10,944.0,52163.0,0.0,944.0,0.0,55.25741525423729,70.896,57.374,107.684,48.13438,24.0,6.851184927493743,6.851184927493743,10.862147880776792,55.25741525423729,50.309999999999995,155.16500000000002
15/9-F-1 C,2014-05-11,823.0,117732.0,0.0,823.0,0.0,143.05224787363304,69.935,58.024,107.836,47.49389,24.0,6.714170529909472,6.714170529909472,11.676174627782746,143.05224787363304,49.812,155.162
15/9-F-1 C,2014-05-12,769.0,111238.0,0.0,769.0,0.0,144.65279583875162,70.226,56.885,107.772,46.93359,24.0,6.646390514847729,6.646390514847729,11.619436318735398,144.65279583875162,50.88700000000001,155.797
15/9-F-1 C,2014-05-13,741.0,107144.0,0.0,741.0,0.0,144.59379217273954,70.328,54.255,107.717,46.3352,24.0,6.60934924316738,6.60934924316738,11.581938336257183,144.59379217273954,53.461999999999996,156.577
15/9-F-1 C,2014-05-14,713.0,102881.0,0.0,713.0,0.0,144.29312762973353,69.372,54.995,107.741,45.16209,24.0,6.570882962339584,6.570882962339584,11.541337979406906,144.29312762973353,52.746,156.204
15/9-F-1 C,2014-05-15,744.0,106745.0,0.0,744.0,0.0,143.4744623655914,69.067,48.598,107.709,46.31644,24.0,6.61338421837956,6.61338421837956,11.578207459662831,143.4744623655914,59.111000000000004,156.82600000000002
15/9-F-1 C,2014-05-16,736.0,104864.0,0.0,736.0,0.0,142.47826086956522,68.593,48.378,107.71,46.34614,24.0,6.602587892189336,6.602587892189336,11.560429087614196,142.47826086956522,59.331999999999994,157.108
15/9-F-1 C,2014-05-17,783.0,110078.0,0.0,783.0,0.0,140.58492975734356,67.256,53.921,107.778,47.08721,24.0,6.664409020350408,6.664409020350408,11.608953568823582,140.58492975734356,53.857000000000006,156.347
15/9-F-1 C,2014-05-18,835.0,117388.0,0.0,835.0,0.0,140.58443113772455,65.407,53.832,107.889,47.76981,24.0,6.728628613084702,6.728628613084702,11.673248485223114,140.58443113772455,54.056999999999995,154.695
15/9-F-1 C,2014-05-19,789.0,109517.0,0.0,789.0,0.0,138.80481622306718,65.314,55.754,107.86,47.13595,24.0,6.672032945461067,6.672032945461067,11.603844198290838,138.80481622306718,52.106,155.17600000000002
15/9-F-1 C,2014-05-20,783.0,109362.0,0.0,783.0,0.0,139.67049808429118,64.916,55.628,107.859,47.14247,24.0,6.664409020350408,6.664409020350408,11.60242790335515,139.67049808429118,52.230999999999995,155.238
15/9-F-1 C,2014-05-21,744.0,104993.0,0.0,744.0,0.0,141.11962365591398,64.691,52.236,107.851,46.52459,24.0,6.61338421837956,6.61338421837956,11.561658484649803,141.11962365591398,55.615,155.375
15/9-F-1 C,2014-05-22,735.0,107116.0,0.0,735.0,0.0,145.7360544217687,64.436,53.661,107.852,46.289,24.0,6.601230118728877,6.601230118728877,11.581676973998272,145.7360544217687,54.191,155.547
15/9-F-1 C,2014-05-23,743.0,108079.0,93.0,836.0,0.11124401913875598,145.46298788694483,64.291,49.053,107.867,46.28423,24.0,6.729824070489475,6.612041034833092,11.59062697263408,129.2811004784689,58.81400000000001,155.572
15/9-F-1 C,2014-05-24,747.0,108387.0,100.0,847.0,0.1180637544273908,145.09638554216866,64.17,54.691,107.883,46.24216,24.0,6.742880635791903,6.617402977974478,11.593472660752852,127.96576151121606,53.19199999999999,155.753
15/9-F-1 C,2014-05-25,751.0,105810.0,101.0,852.0,0.11854460093896714,140.89214380825567,64.073,55.231,107.903,46.26168,24.0,6.748759547491679,6.62273632394984,11.56940976275611,124.19014084507042,52.672000000000004,155.904
15/9-F-1 C,2014-05-26,727.0,106514.0,87.0,814.0,0.10687960687960688,146.51169188445667,63.93,55.103,107.921,46.26511,24.0,6.703188113240863,6.590301048196686,11.576041099284303,130.85257985257985,52.818000000000005,156.04399999999998
15/9-F-1 C,2014-05-27,716.0,105800.0,91.0,807.0,0.1127633209417596,147.76536312849163,63.737,55.311,107.936,46.22633,24.0,6.694562058521095,6.57507584059962,11.569315250157509,131.10285006195787,52.62500000000001,156.243
15/9-F-1 C,2014-05-28,695.0,102250.0,77.0,772.0,0.09974093264248704,147.12230215827338,63.551,55.508,107.445,46.215,24.0,6.650279048587422,6.54534966033442,11.535185853808326,132.44818652849742,51.93699999999999,155.716
