strategy,test_well,RMSE,MAE,MAPE,R2,n,model
LOWO,F-1 C,18.67684039338108,16.892608005494292,9.27801560558543,0.030706856908707447,335,Mechanistic baseline
LOWO,F-1 C,10.709744528920103,8.643468082128436,4.786635888544806,0.6812820318383437,335,Plain RF
LOWO,F-1 C,10.25009512655399,8.432482503575478,4.496467107335682,0.7080529324243507,335,Hybrid RF
LOWO,F-11 H,88.14938503768654,66.32411356143108,34.32275987509158,-16.67053197518368,1034,Mechanistic baseline
LOWO,F-11 H,9.20081349081337,6.903034109226339,3.9380369220603133,0.8074854737156724,1034,Plain RF
LOWO,F-11 H,7.317901658160204,5.316810211280855,2.9664273576292706,0.8782176953998644,1034,Hybrid RF
LOWO,F-12 H,416.26763315385443,382.63957410561864,205.7812125294887,-543.0726599444241,852,Mechanistic baseline
LOWO,F-12 H,21.61547687206729,20.174777494842342,10.742334371979828,-0.4670376438860244,852,Plain RF
LOWO,F-12 H,25.485221373086436,22.787609735174453,12.169123603553214,-1.0393343583355232,852,Hybrid RF
LOWO,F-14 H,310.78617680573217,278.9496604752089,145.65772933592626,-124.90673057951936,2486,Mechanistic baseline
LOWO,F-14 H,17.94570878484941,14.406961503576705,8.888932317449761,0.5801957888962219,2486,Plain RF
LOWO,F-14 H,23.617826966464456,13.583988881912457,8.641551386394438,0.27288110269428745,2486,Hybrid RF
LOWO,F-15 D,44.84927350642795,43.11082951072603,25.86167582957235,-11.543459147885999,708,Mechanistic baseline
LOWO,F-15 D,23.94260427159306,21.198391250054772,13.009818773909556,-2.5747795900039074,708,Plain RF
LOWO,F-15 D,14.088283665510714,12.565390862786536,7.535995059108176,-0.23772074409727462,708,Hybrid RF
