actual,predicted_mean,predicted_std,CI_lower_2.5,CI_upper_97.5
230.301,231.07161666666593,1.30948901855733,229.89299999999994,233.57295000000002
174.18,190.75019666666682,20.59744838626027,156.310425,235.452
178.35500000000002,180.6750900000005,5.950397841760945,177.243,198.45
236.772,236.6631433333333,0.24573904069606503,235.82200000000003,236.805
238.27300000000002,238.67497999999978,1.5271034955976852,238.399,240.19099999999997
238.084,237.24962666666687,1.5317002493815666,235.87455,238.85700000000003
198.08100000000002,191.31157333333346,7.027485579111654,170.17350000000002,198.218
207.73,207.68033999999983,0.1722565849733114,207.54299999999998,207.95100000000002
170.231,170.21385666666657,1.0187127184780245,168.673,171.053
183.214,182.9499033333335,0.9943246522081641,180.925,183.50099999999998
210.33800000000002,210.37924000000004,0.4118681209643017,209.953725,210.969
190.49200000000002,190.33840666666615,0.1758158732563411,190.012425,190.69
168.194,168.3568699999998,0.799308767894693,167.7651,171.82842499999998
196.923,198.31960000000043,3.9978899768086,192.633475,209.22195
163.435,165.58326000000002,4.060716783081533,161.35,172.807
166.20700000000002,165.52995666666655,1.5576236755997526,164.365,169.435
166.189,167.38340666666687,2.1493116730608333,163.889,171.368
177.341,176.63459333333313,2.3493883149922694,174.418,182.392
198.002,198.15072333333336,2.546280424486318,197.438,199.207
183.40500000000003,189.03900333333345,6.961171801978144,180.245,206.51205
180.771,181.79724666666655,2.7873123038431795,179.773,185.718
207.358,207.25540333333322,0.6307339539421957,206.41,208.85097499999998
178.21699999999998,181.518643333333,13.132325139750456,157.8219,216.29899999999998
184.875,184.60807999999972,1.5133372768817843,181.75187499999998,187.25052499999995
227.303,227.41984999999897,0.542884340813035,226.04299999999998,229.01767499999997
215.57299999999998,214.49579666666705,2.7652468778252333,209.0633,222.86294999999998
186.544,186.128853333334,1.3336361992020989,183.915075,188.302
226.02300000000002,225.42497333333347,1.3554267172944274,221.482975,228.3459
179.505,179.66605333333402,1.6759273683015674,178.596,180.91899999999998
238.47899999999998,237.9476866666668,0.6080811748077279,236.742,238.648
175.51999999999998,175.55781666666644,0.8060000804728369,175.30700000000002,177.385
234.752,234.84043666666656,0.3820908783551652,234.431,235.787
244.14,225.54807999999994,7.493413595525077,211.75799999999998,238.44199999999998
154.02599999999998,155.2480933333331,3.10251762465403,151.351,160.50099999999998
235.85699999999997,235.19794666666692,0.8185574774090212,233.45599999999996,235.905
177.48399999999998,179.66687666666613,3.388267154184011,175.636,184.134625
203.66899999999998,203.64824666666723,1.7180373179364303,202.377,205.408375
167.34699999999998,167.2450966666662,0.41552652621570335,166.75395,167.73499999999999
157.437,157.5114499999999,0.46952141679941845,156.86435,158.44
230.28999999999996,230.32563333333383,0.39537977383214307,229.729,230.65300000000002
226.12800000000001,220.51096999999976,7.57842081631127,198.17215000000002,226.475
166.758,169.12661000000006,6.255428626766249,156.79500000000002,195.24559999999994
155.39000000000001,155.13071666666636,0.5139316780684249,154.402,156.315
205.279,203.84401000000028,2.2988934707593565,197.901,206.90392500000002
182.96699999999998,183.3844366666666,0.5553027336407502,182.38500000000002,184.273
168.63100000000003,168.54271000000017,0.6955064719804309,166.49985,169.11
203.221,203.4681466666667,2.383211745765691,197.75570000000002,209.05447499999997
195.279,195.47292333333272,0.7987683628284009,194.818275,197.377
155.985,156.43653999999987,1.5584052131586261,154.6928,160.50099999999998
177.678,177.95775666666617,0.9990866849889579,176.42624999999998,179.72799999999998
212.168,212.0545466666662,0.36416460722529753,210.939,212.384
165.77,165.88282999999979,0.8004609928659848,165.05200000000002,167.49599999999998
