test_well,n_test,RMSE,MAE,MAPE,R2
15/9-F-1 C,78,6.921805902979504,5.334998475576606,2.627750959269985,0.7468093232249844
15/9-F-11 H,213,8.893546788693765,7.3995430860550035,3.3087967265573273,-0.2710892524108872
15/9-F-12 H,179,18.002381888071756,17.457634973558402,8.03421596266549,-3.865694620611591
15/9-F-14 H,511,4.017033342984939,3.242735539866001,1.3681079345276475,-3.7475791619785603
15/9-F-15 D,146,8.982203629368454,7.0127149461731815,3.8222501353822316,-0.46947754854766877
