feature,gini_importance
GLR,0.4095213429930193
WC,0.25831518651818536
q_wat,0.1113005095207699
AVG_DOWNHOLE_TEMPERATURE,0.05049756649647957
dT,0.044478349755342476
AVG_CHOKE_SIZE_P,0.020101376566863567
log_q_oil,0.01773080962762361
AVG_WHT_P,0.016993964701753392
q_oil,0.01485408227497903
AVG_WHP_P,0.014650867111147273
log_q_gas,0.01278135482559692
q_gas,0.011596877023856363
q_liq,0.006044352965642679
log_q_liq,0.005295955479392518
GOR,0.004604951382836674
ON_STREAM_HRS,0.0012324527565113535
