test_well,n_test,n_train,RMSE,MAE,MAPE,R2
15/9-F-1 C,78,5552,9.254291096776221,7.752010641025835,3.7910381302246554,0.5474201769183202
15/9-F-11 H,213,5417,6.378308545487216,4.737147480438201,2.1283942091902692,0.3462117572570459
15/9-F-12 H,179,5451,21.004519501436956,20.064811657355598,9.199608242341167,-5.623848794708136
15/9-F-14 H,511,5119,5.097075939533107,4.830514285714456,2.033804278121054,-6.643698528496708
15/9-F-15 D,146,5484,7.5794073986239106,6.539779018264877,3.542742865538416,-0.04632756051662623
