well,RMSE_BB,MAE_BB,MAPE_BB,R2_BB
15/9-F-1 C,67.94003225538911,67.2732853768173,37.01196986310154,-9.656828828083304
15/9-F-11 H,61.86741376207678,60.916240610419464,33.92851889946654,-7.803615936822018
15/9-F-12 H,53.877357613146934,53.44781853253621,29.10682209247866,-8.170512197831453
15/9-F-14 H,64.52537303690421,63.420587134050045,32.11137684160133,-4.902244548408302
15/9-F-15 D,69.10673740412399,68.88088639905769,40.89336958961995,-29.090997219736927
