test_well,n_test,n_train,RMSE,MAE,MAPE,R2,well,RMSE_BB,MAE_BB,MAPE_BB,R2_BB,RMSE_LR,R2_LR
15/9-F-1 C,390,5240,15.478405467687388,14.372154282051213,7.957998366043022,0.44686781308868095,15/9-F-1 C,67.94003225538911,67.2732853768173,37.01196986310154,-9.656828828083304,11.813451389698034,0.6777966215727909
15/9-F-11 H,1063,4567,7.755839114869117,5.9489307369082125,3.241062861573473,0.8616450352986216,15/9-F-11 H,61.86741376207678,60.916240610419464,33.92851889946654,-7.803615936822018,11.135895719562171,0.7147750744281751
15/9-F-12 H,894,4736,17.9972215772213,16.27050330350475,8.522791030356132,-0.023274011785533455,15/9-F-12 H,53.877357613146934,53.44781853253621,29.10682209247866,-8.170512197831453,21.986003943298197,-0.5271216010372188
15/9-F-14 H,2553,3077,15.417872291895938,12.434933463898648,6.615155839154147,0.6630192909119055,15/9-F-14 H,64.52537303690421,63.420587134050045,32.11137684160133,-4.902244548408302,16.72020932805094,0.603685855819639
15/9-F-15 D,730,4900,18.250730922208593,16.685005319634794,10.1853642017268,-1.0987288130835071,15/9-F-15 D,69.10673740412399,68.88088639905769,40.89336958961995,-29.090997219736927,8.752607265288319,0.5173073517252459
