strategy,test_well,RMSE,MAE,MAPE,R2,n,model
pooled_per_well,F-1 C,8.39996903433443,4.251278251676262,2.130351023122655,0.8162925951642102,75,Plain RF
pooled_per_well,F-1 C,6.23292507722608,3.2130764153879903,1.6273361354341649,0.8988525112084733,75,Hybrid RF
pooled_per_well,F-1 C,17.37544833798883,16.19867557569406,8.890844582483638,0.213962381962722,75,Mechanistic baseline
pooled_per_well,F-11 H,3.243942022644929,1.2793518120372322,0.6859467969664331,0.9743892517499435,212,Plain RF
pooled_per_well,F-11 H,2.658121250933768,1.3508490556010562,0.7128469484619979,0.9828040697529411,212,Hybrid RF
pooled_per_well,F-11 H,87.04838706747763,64.09633970500576,33.20306835229705,-17.441555782558538,212,Mechanistic baseline
pooled_per_well,F-12 H,3.989431289879447,2.4241361988036276,1.3144164911898122,0.9459545442842581,179,Plain RF
pooled_per_well,F-12 H,8.518933221701138,5.944333089990733,3.2309077349966437,0.7535620248298098,179,Hybrid RF
pooled_per_well,F-12 H,425.97650833073806,395.68485608066914,215.39232452114462,-615.1812838599776,179,Mechanistic baseline
pooled_per_well,F-14 H,3.3962142270930253,1.4803060948175892,0.8262326786681911,0.9853177584215348,492,Plain RF
pooled_per_well,F-14 H,5.968931732774185,2.792649247349948,1.5756153816763718,0.9546481053243723,492,Hybrid RF
pooled_per_well,F-14 H,297.84422800022963,267.57543271777627,136.62954126916352,-111.92252694858799,492,Mechanistic baseline
pooled_per_well,F-15 D,1.833256140228695,1.1127881781652427,0.6402559179813491,0.9766872990595917,125,Plain RF
pooled_per_well,F-15 D,1.4522269627242588,0.9015721834212493,0.5248239326137043,0.9853709781837905,125,Hybrid RF
pooled_per_well,F-15 D,45.079415119151754,43.473633343600824,26.14928295155258,-13.096225587306845,125,Mechanistic baseline
