tubing_ID_in,RMSE,R2,MAPE,n
3.5,99.87603585049936,-13.921657801998334,50.116018866168424,5630
4.0,77.17715299571606,-7.909882780886724,40.09774868397283,5630
4.5,67.27605832461948,-5.770419204810079,35.427732562026314,5630
4.892,63.32938259203249,-4.999360937719022,33.45553954963574,5630
5.5,60.01115387286476,-4.3871421771304355,31.71506867378343,5630
