feature,shap_mean_abs
GLR,10.127934663445057
WC,6.739937462279577
q_wat,3.248759874404854
AVG_DOWNHOLE_TEMPERATURE,2.103650391214845
AVG_CHOKE_SIZE_P,1.3005898678485572
AVG_WHP_P,1.0942678448161667
dT,0.8212541106444036
log_q_oil,0.7916631264560173
AVG_WHT_P,0.7142981308890084
q_oil,0.7027633958784246
log_q_gas,0.4697833316866011
q_liq,0.4671034901469435
q_gas,0.439752587942428
log_q_liq,0.39722937037574657
GOR,0.2176452696907505
ON_STREAM_HRS,0.05828413089521622
